0
85m 35s (- -86m 24s) 10000 0.6763 12
86m 7s (- -87m 52s) 11000 0.6427 12
86m 40s (- -87m 19s) 12000 0.6171 12
0.0023,1.0868
(0.22476735862562633, 0.018867924528301886)
13
87m 26s (- -88m 38s) 1000 0.7489 13
87m 58s (- -88m 4s) 2000 0.6357 13
88m 30s (- -89m 30s) 3000 0.5735 13
89m 1s (- -90m 59s) 4000 0.6470 13
89m 34s (- -90m 26s) 5000 0.5932 13
90m 5s (- -91m 55s) 6000 0.6530 13
90m 36s (- -91m 24s) 7000 0.6327 13
91m 8s (- -92m 52s) 8000 0.6083 13
91m 40s (- -92m 20s) 9000 0.5590 13
92m 10s (- -93m 49s) 10000 0.6573 13
92m 42s (- -93m 18s) 11000 0.6141 13
93m 15s (- -94m 44s) 12000 0.5860 13
0.0022,1.0743
(0.2304939155332856, 0.018867924528301886)
14
93m 58s (- -94m 6s) 1000 0.7116 14
94m 31s (- -95m 31s) 2000 0.6088 14
95m 1s (- -95m 0s) 3000 0.5482 14
95m 31s (- -96m 29s) 4000 0.6252 14
96m 1s (- -97m 59s) 5000 0.5683 14
96m 32s (- -97m 28s) 6000 0.6249 14
97m 1s (- -98m 58s) 7000 0.6021 14
97m 32s (- -98m 28s) 8000 0.5789 14
98m 3s (- -99m 57s) 9000 0.5393 14
98m 33s (- -99m 27s) 10000 0.6241 14
99m 3s (- -100m 57s) 11000 0.5823 14
99m 33s (- -100m 26s) 12000 0.5652 14
0.0022,1.0963
(0.24051539012168932, 0.02122641509433962)
15
100m 15s (- -101m 50s) 1000 0.6819 15
100m 46s (- -101m 16s) 2000 0.5823 15
101m 15s (- -102m 46s) 3000 0.5217 15
101m 45s (- -102m 15s) 4000 0.6021 15
102m 16s (- -103m 44s) 5000 0.5474 15
102m 46s (- -103m 14s) 6000 0.6009 15
103m 16s (- -104m 44s) 7000 0.5772 15
103m 47s (- -104m 13s) 8000 0.5596 15
104m 17s (- -105m 43s) 9000 0.5157 15
104m 47s (- -105m 13s) 10000 0.5968 15
105m 17s (- -106m 43s) 11000 0.5582 15
105m 47s (- -106m 12s) 12000 0.5448 15
0.0020,0.9472
(0.2448103078024338, 0.014150943396226415)
16
106m 29s (- -107m 37s) 1000 0.6556 16
106m 59s (- -107m 3s) 2000 0.5542 16
107m 29s (- -108m 32s) 3000 0.4986 16
107m 59s (- -108m 1s) 4000 0.5682 16
108m 29s (- -109m 31s) 5000 0.5256 16
109m 0s (- -109m 0s) 6000 0.5719 16
109m 30s (- -110m 29s) 7000 0.5608 16
110m 2s (- -111m 58s) 8000 0.5346 16
110m 33s (- -111m 26s) 9000 0.4952 16
111m 3s (- -112m 57s) 10000 0.5748 16
111m 33s (- -112m 26s) 11000 0.5345 16
112m 4s (- -113m 56s) 12000 0.5195 16
0.0020,1.0010
(0.25841088045812455, 0.018867924528301886)
17
112m 46s (- -113m 20s) 1000 0.6340 17
113m 17s (- -114m 46s) 2000 0.5471 17
113m 49s (- -114m 12s) 3000 0.4901 17
114m 16s (- -115m 45s) 4000 0.5558 17
114m 42s (- -115m 18s) 5000 0.5039 17
115m 15s (- -116m 45s) 6000 0.5482 17
115m 45s (- -116m 15s) 7000 0.5309 17
116m 15s (- -117m 45s) 8000 0.5136 17
116m 44s (- -117m 16s) 9000 0.4727 17
